hanzi,level,pinyin,definition
牛仔裤,5,niu2 zai3 ku4,jeans; CL:條|条[tiao2]; also written 牛崽褲|牛崽裤,
纽扣儿,6,niu3 kou4 r5,button,
扭转,6,niu3 zhuan3,to reverse; to turn around (an undesirable situation),
浓,5,nong2,concentrated; dense,
农村,4,nong2 cun1,rural area; village; CL:個|个[ge4],
浓厚,6,nong2 hou4,"dense; thick (fog, clouds etc); to have a strong interest in; deep; fully saturated (color)",
农历,6,nong2 li4,the traditional Chinese calendar; the lunar calendar,
农民,5,nong2 min2,peasant; CL:個|个[ge4],
农业,5,nong2 ye4,agriculture; farming,
弄,4,nong4,to do; to manage; to handle; to play with; to fool with; to mess with; to fix; to toy with,
奴隶,6,nu2 li4,slave,
努力,3,nu3 li4,great effort; to strive; to try hard,
暖和,4,nuan3 huo5,warm; nice and warm,
挪,6,nuo2,to shift; to move,
女儿,1,nv3 er2,daughter,
女人,2,nv3 ren2,woman,
女士,5,nv3 shi4,"lady; madam; CL:個|个[ge4],位[wei4]",
虐待,6,nve4 dai4,to mistreat; to maltreat; to abuse; mistreatment; maltreatment,
哦,6,o4,oh; ah,
殴打,6,ou1 da3,to beat up; to come to blows; battery (law),
欧洲,6,Ou1 zhou1,Europe; European,
偶尔,4,ou3 er3,occasionally; once in a while; sometimes,
偶然,5,ou3 ran2,incidentally; occasional; occasionally; by chance; randomly,
呕吐,6,ou3 tu4,to vomit,
趴,6,pa1,to lie on one's stomach,
爬山,3,pa2 shan1,to climb a mountain; to mountaineer; hiking; mountaineering,
拍,5,pai1,to pat; to clap; to slap; fly-swatter; racket; to take (a photograph),
排斥,6,pai2 chi4,to reject; to exclude; to eliminate; to remove; to repel,
排除,6,pai2 chu2,to eliminate; to get rid of; to remove,
排队,5,pai2 dui4,to line up,
排放,6,pai2 fang4,emission; discharge; exhaust (gas etc),
徘徊,6,pai2 huai2,to dither; to hesitate; to pace back and forth; by ext. to hover around; to linger,
排列,4,pai2 lie4,array; arrangement; permutation (i.e. ordered choice of n elements out of m),
排球,5,pai2 qiu2,volleyball; CL:個|个[ge4],
派,5,pai4,clique; school; group; faction; to dispatch; to send; to assign; to appoint; pi (Greek letter Ππ); the circular ratio pi = 3.1415926,
派别,6,pai4 bie2,denomination; group; school; faction; school of thought,
派遣,6,pai4 qian3,to send (on a mission); to dispatch,
攀登,6,pan1 deng1,to climb; to pull oneself up; to clamber; to scale; fig. to forge ahead in the face of hardships and danger,
盘旋,6,pan2 xuan2,to spiral; to circle; to go around; to hover; to orbit,
盘子,3,pan2 zi5,tray; plate; dish,
畔,6,pan4,bank; field-path,
判断,4,pan4 duan4,to decide; to determine; CL:個|个[ge4],
判决,6,pan4 jue2,judgment (by a court of law),
盼望,5,pan4 wang4,to hope for; look forward to,
旁边,2,pang2 bian1,lateral; side; to the side; beside,
庞大,6,pang2 da4,huge; enormous; tremendous,
胖,3,pang4,fat; plump,
抛弃,6,pao1 qi4,discard; dump; abandon,
跑步,2,pao3 bu4,to walk quickly; to march; to run,
泡沫,6,pao4 mo4,foam; (soap) bubble; (economic) bubble,
陪,4,pei2,to accompany; to keep sb company,
赔偿,5,pei2 chang2,to compensate,
培训,6,pei2 xun4,to cultivate; to train; to groom; training,
培养,5,pei2 yang3,to train; culture; to bring up; to groom (for a position),
培育,6,pei2 yu4,to train; to breed,
配备,6,pei4 bei4,to allocate; to provide; to outfit with,
佩服,5,pei4 fu2,admire,
配合,5,pei4 he2,matching; fitting in with; compatible with; to correspond; to fit; to conform to; rapport; to coordinate with; to act in concert with; to cooperate; to become man and wife; to combine parts of machine,
配偶,6,pei4 ou3,consort; mate; spouse,
配套,6,pei4 tao4,to form a complete set; coherent,
盆,5,pen2,"basin; flower pot; unit of volume equal to 12 斗 and 8 升, approx 128 liters; CL:個|个[ge4]",
盆地,6,pen2 di4,basin (low-lying geographical feature); depression,
烹饪,6,peng1 ren4,cooking; culinary arts,
朋友,1,peng2 you5,"friend; CL:個|个[ge4],位[wei4]",
捧,6,peng3,to clasp; to cup the hands; to hold up with both hands; to offer (esp. in cupped hands); to praise; to flatter,
碰见,5,peng4 jian4,to run into; to meet (unexpectedly); to bump into,
批,5,pi1,"to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)",
披,5,pi1,to drape over one's shoulders; to open; to unroll; to split open; to spread out,
劈,6,pi1,"to hack; to chop; to split open; see 噼啪|劈啪, onomat. for crack, slap, clap, clatter etc",
批发,6,pi1 fa1,wholesale; bulk trade; distribution,
批判,6,pi1 pan4,criticize; CL:個|个[ge4],
批评,4,pi1 ping2,to criticize; criticism; CL:個|个[ge4],
批准,5,pi1 zhun3,to approve; to ratify,
疲惫,6,pi2 bei4,beaten; exhausted; tired,
皮肤,4,pi2 fu1,skin; CL:種|种[zhong3],
皮革,6,pi2 ge2,leather; CL:張|张[zhang1],
啤酒,3,pi2 jiu3,"beer; CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]",
疲倦,6,pi2 juan4,to tire; tired,
疲劳,5,pi2 lao2,fatigue; wearily; weariness; weary,
脾气,6,pi2 qi5,temperament; disposition; temper; CL:個|个[ge4],
皮鞋,5,pi2 xie2,leather shoes,
匹,5,pi3,"ordinary person; classifier for horses, mules etc; classifier for cloth: bolt",
屁股,6,pi4 gu5,buttocks; bottom; ass,
譬如,6,pi4 ru2,for example; for instance; such as,
篇,4,pian1,"sheet; piece of writing; bound set of bamboo slips used for record keeping (old); classifier for written items: chapter, article",
偏差,6,pian1 cha1,bias; deviation,
偏见,6,pian1 jian4,prejudice,
偏僻,6,pian1 pi4,remote; desolate; far from the city,
偏偏,6,pian1 pian1,(indicates that sth turns out just the opposite of what one would expect or what would be normal); unfortunately; against expectations,
便宜,2,pian2 yi5,small advantages; to let sb off lightly; cheap; inexpensive,
片,5,pian4,"thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc",
骗,4,pian4,to cheat; to swindle; to deceive; to fool; to hoodwink; to trick,
片段,6,pian4 duan4,fragment (of speech etc); extract (from book etc); episode (of story etc),
片刻,6,pian4 ke4,short period of time; a moment,
片面,5,pian4 mian4,unilateral; one-sided,
飘,5,piao1,to float,
漂浮,6,piao1 fu2,"to float; to hover; to drift (also fig., to lead a wandering life); to rove; showy; superficial",
飘扬,6,piao1 yang2,wave; flutter; fly,
票,2,piao4,ticket; ballot; bank note; CL:張|张[zhang1]; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect),
漂亮,1,piao4 liang5,pretty; beautiful,
拼搏,6,pin1 bo2,to struggle; to wrestle,
拼命,6,pin1 ming4,to do one's utmost; with all one's might; at all costs; (to work or fight) as if one's life depends on it,
频道,5,pin2 dao4,frequency; (television) channel,
贫乏,6,pin2 fa2,lack; incomplete,
频繁,6,pin2 fan2,frequently; often,
贫困,6,pin2 kun4,impoverished; poverty,
频率,6,pin2 lv4,frequency,
品尝,6,pin3 chang2,to taste a small amount; to sample,
品德,6,pin3 de2,moral character,
品行,6,pin3 xing2,behavior; moral conduct,
品质,6,pin3 zhi4,quality,
品种,5,pin3 zhong3,breed; variety; CL:個|个[ge4],
乒乓球,4,ping1 pang1 qiu2,table tennis; ping-pong; ping pong; table tennis ball; CL:個|个[ge4],
凭,5,ping2,"to lean against; to rely on; on the basis of; no matter (how, what etc); proof",
平,5,ping2,flat; level; equal; to tie (make the same score); to draw (score); calm; peaceful; see also 平聲|平声[ping2 sheng1],
平常,5,ping2 chang2,ordinary; common; usually; ordinarily,
平等,5,ping2 deng3,equal; equality,
平凡,6,ping2 fan2,commonplace; ordinary; mediocre,
平方,5,ping2 fang1,"square (as in square foot, square mile, square root)",
评估,6,ping2 gu1,to evaluate; to assess; assessment; evaluation,
苹果,1,ping2 guo3,"apple; CL:個|个[ge4],顆|颗[ke1]",
平衡,5,ping2 heng2,balance; equilibrium,
评价,5,ping2 jia4,to evaluate; to assess,
平静,5,ping2 jing4,tranquil; undisturbed; serene,
平均,5,ping2 jun1,average,
评论,6,ping2 lun4,to comment on; to discuss; comment; commentary; CL: 篇[pian1],
平面,6,ping2 mian4,plane (flat surface); print media,
平时,4,ping2 shi2,in normal times; in peacetime,
平坦,6,ping2 tan3,level; even; smooth; flat,
平行,6,ping2 xing2,parallel; of equal rank; simultaneous,
平原,6,ping2 yuan2,field; plain; CL:個|个[ge4],
屏障,6,ping2 zhang4,protective screen,
瓶子,4,ping2 zi5,bottle; CL:個|个[ge4],
坡,6,po1,slope; CL:個|个[ge4],
泼,6,po1,to splash; to spill; rough and coarse; brutish,
颇,6,po1,very; considerably,
破,4,po4,"broken; damaged; worn out; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of",
迫不及待,6,po4 bu4 ji2 dai4,impatient (idiom); in a hurry; itching to get on with it,
破产,5,po4 chan3,to go bankrupt; to become impoverished; bankruptcy,
迫害,6,po4 hai4,to persecute; persecution,
破坏,5,po4 huai4,destruction; damage; to wreck; to break; to destroy,
破例,6,po4 li4,to make an exception,
魄力,6,po4 li4,courage; daring; boldness; resolution; drive,
迫切,5,po4 qie4,urgent; pressing,
扑,6,pu1,to assault; to pounce; to rush at sth; to throw oneself on,
铺,6,pu1,to spread; to extend; to pave; to lay,
葡萄,3,pu2 tao5,grape,
普遍,4,pu3 bian4,universal; general; widespread; common,
普及,6,pu3 ji2,popular; to popularize; universal; ubiquitous; pervasive,
朴实,6,pu3 shi2,plain; simple; guileless; down-to-earth; sincere and honest,
朴素,5,pu3 su4,plain and simple; unadorned; simple living; not frivolous,
普通话,3,pu3 tong1 hua4,Mandarin (common language); Putonghua (common speech of the Chinese language); ordinary speech,
瀑布,6,pu4 bu4,waterfall,
七,1,qi1,seven; 7,
期待,5,qi1 dai4,to look forward to; to await; expectation,
欺负,6,qi1 fu5,to bully,
期间,5,qi1 jian1,period of time; time; time period; period; CL:個|个[ge4],
凄凉,6,qi1 liang2,desolate,
欺骗,6,qi1 pian4,to deceive; to cheat,
期望,6,qi1 wang4,hope; expectation,
期限,6,qi1 xian4,time limit; deadline; allotted time,
妻子,2,qi1 zi5,wife; CL:個|个[ge4],
骑,3,qi2,to ride (an animal or bike); to sit astride,
其次,4,qi2 ci4,next; secondly,
奇怪,3,qi2 guai4,strange; odd,
奇迹,5,qi2 ji4,miracle; miraculous; wonder; marvel,
奇妙,6,qi2 miao4,fantastic; wonderful,
旗袍,6,qi2 pao2,Chinese-style dress; cheongsam,
齐全,6,qi2 quan2,complete,
其实,3,qi2 shi2,"actually, in fact, really",
歧视,6,qi2 shi4,to discriminate against; discrimination,
其他,3,qi2 ta1,other; the others; else; other than (that person); in addition to the person mentioned above,
齐心协力,6,qi2 xin1 xie2 li4,to work with a common purpose (idiom); to make concerted efforts; to pull together; to work as one,
其余,5,qi2 yu2,the rest; the others; remaining; remainder; apart from them,
旗帜,6,qi2 zhi4,ensign; flag,
其中,4,qi2 zhong1,among; in; included among these,
起草,6,qi3 cao3,draft (a bill); draw up (plans),
启程,6,qi3 cheng2,to set out on a journey,
起初,6,qi3 chu1,originally; at first; at the outset,
起床,2,qi3 chuang2,to get up,
启发,5,qi3 fa1,to enlighten; to explain and arouse interest; to inspire; inspiration; heuristic (attributively); to teach; CL:個|个[ge4],
起飞,4,qi3 fei1,to take off (in an airplane),
起伏,6,qi3 fu2,to move up and down; to undulate; ups and downs,
乞丐,6,qi3 gai4,beggar,
起哄,6,qi3 hong4,to heckle; rowdy jeering; to create a disturbance,
起来,5,qi3 lai2,beginning or continuing an action; upward movement; stand up,
起码,6,qi3 ma3,at the minimum; at the very least,
启示,6,qi3 shi4,enlightenment; revelation; apocalypse,
启事,6,qi3 shi4,"announcement (written, on billboard, letter, newspaper or website); to post information; a notice",
企图,5,qi3 tu2,attempt; CL:種|种[zhong3],
企业,5,qi3 ye4,company; firm; enterprise; corporation; CL:家[jia1],
起义,6,qi3 yi4,uprising; insurrection; revolt,
岂有此理,6,qi3 you3 ci3 li3,how can this be so? (idiom); preposterous; ridiculous; absurd,
起源,6,qi3 yuan2,origin; to originate; to come from,
器材,6,qi4 cai2,equipment; material,
气氛,5,qi4 fen1,atmosphere; mood,
气概,6,qi4 gai4,lofty quality; mettle; spirit,
气功,6,qi4 gong1,"qigong, a system of deep breathing exercises",
器官,6,qi4 guan1,organ (part of body tissue); apparatus,
气候,4,qi4 hou4,climate; atmosphere; situation; CL:種|种[zhong3],
迄今为止,6,qi4 jin1 wei2 zhi3,so far; up to now; still (not),
气魄,6,qi4 po4,spirit; boldness; positive outlook; imposing attitude,
气色,6,qi4 se4,complexion,
气势,6,qi4 shi4,momentum; manner; energy; look of great force or imposing manner; powerful,
气味,6,qi4 wei4,odor; scent,
气象,6,qi4 xiang4,meteorological feature; CL:個|个[ge4]; meteorology; atmosphere or scene,
气压,6,qi4 ya1,atmospheric pressure; barometric pressure,
汽油,5,qi4 you2,gas; gasoline; CL:升[sheng1],
掐,6,qia1,to pick (flowers); to pinch; to clutch; (slang) to fight,
恰当,6,qia4 dang4,appropriate; suitable,
恰到好处,6,qia4 dao4 hao3 chu4,it's just perfect; it's just right,
恰巧,6,qia4 qiao3,fortunately; unexpectedly; by coincidence,
洽谈,6,qia4 tan2,to discuss,
千,2,qian1,thousand,
牵,5,qian1,to pull (an animal on a tether); to lead along; to hold hands,
铅笔,3,qian1 bi3,"(lead) pencil; CL:支[zhi1],枝[zhi1],桿|杆[gan3]",
牵扯,6,qian1 che3,to involve; to implicate,
签订,6,qian1 ding4,to agree to and sign (a treaty etc),
千方百计,6,qian1 fang1 bai3 ji4,"lit. thousand ways, a hundred plans (idiom); by every possible means",
迁就,6,qian1 jiu4,to yield; to adapt to; to accommodate to (sth),
签署,6,qian1 shu3,to sign (an agreement),
千万,4,qian1 wan4,ten million; countless; many; one must by all means,
迁徙,6,qian1 xi3,to migrate; to move,
谦虚,5,qian1 xu1,modest; self-effacing; to make modest remarks,
谦逊,6,qian1 xun4,humble; humility; modesty,
签证,4,qian1 zheng4,visa; certificate; to certify; CL:個|个[ge4],
牵制,6,qian1 zhi4,to control; to curb; to restrict; to impede; to pin down (enemy troops),
签字,5,qian1 zi4,to sign (a signature),
钱,1,qian2,coin; money; CL:筆|笔[bi3],
前景,6,qian2 jing3,foreground; vista; (future) prospects; perspective,
潜力,6,qian2 li4,potential; capacity,
前面,1,qian2 mian4,ahead; in front; preceding; above,
潜水,6,qian2 shui3,to dive; to go under water; lurker (Internet slang for sb who reads forum posts but never replies),
前提,6,qian2 ti2,premise; precondition; prerequisite,
前途,5,qian2 tu2,prospects; future outlook; journey,
潜移默化,6,qian2 yi2 mo4 hua4,imperceptible influence; to influence secretly,
浅,5,qian3,"shallow, not deep; superficial",
谴责,6,qian3 ze2,to denounce; to condemn; to criticize; condemnation; criticism,
欠,5,qian4,deficient; owe; to lack; yawn,
枪,5,qiang1,"gun; firearm; rifle; spear; CL:支[zhi1],把[ba3]",
抢劫,6,qiang1 jie2,to rob; looting,
墙,4,qiang2,"wall; CL:面[mian4],堵[du3]",
强调,5,qiang2 diao4,to emphasize (a statement); to stress,
强烈,5,qiang2 lie4,intense; (violently) strong,
强制,6,qiang2 zhi4,to enforce; enforcement; forcibly; compulsory,
抢,5,qiang3,fight over; to rush; to scramble; to grab; to rob; to snatch,
抢救,6,qiang3 jiu4,rescue,
强迫,6,qiang3 po4,to compel; to force,
敲,4,qiao1,extort; knock; to strike; to knock (at a door); to hit,
悄悄,5,qiao1 qiao1,quietly; secretly; stealthily,
桥,4,qiao2,bridge; CL:座[zuo4],
瞧,5,qiao2,look at,
桥梁,6,qiao2 liang2,bridge; fig. connection between two areas,
巧克力,4,qiao3 ke4 li4,chocolate (loanword); CL:塊|块[kuai4],
巧妙,5,qiao3 miao4,ingenious; clever,
翘,6,qiao4,to raise,
切,5,qie1,to cut; to slice; tangent (math),
锲而不舍,6,qie4 er2 bu4 she3,to chip away at a task and not abandon it (idiom); to chisel away at sth; to persevere; unflagging efforts,
切实,6,qie4 shi2,feasible; earnestly; conscientiously; realistic; practical,
亲爱,5,qin1 ai4,Dear or beloved (way of starting a letter),
侵犯,6,qin1 fan4,to infringe on; to encroach on; to violate,
侵略,5,qin1 lve4,invasion; encroachment,
钦佩,6,qin1 pei4,to admire; to look up to; to respect sb greatly,
亲戚,4,qin1 qi5,"a relative (i.e. family relation); CL:門|门[men2],個|个[ge4],位[wei4]",
亲切,5,qin1 qie4,amiable; friendliness; gracious; hospitality; intimate; cordial; kind; close and dear; familiar,
亲热,6,qin1 re4,affectionate; intimate; warm-hearted,
亲身,6,qin1 shen1,personal; oneself,
亲自,5,qin1 zi4,personally,
勤奋,5,qin2 fen4,hardworking; diligent,
勤俭,6,qin2 jian3,hardworking and frugal,
勤恳,6,qin2 ken3,diligent and attentive; assiduous; sincere,
勤劳,5,qin2 lao2,hardworking; industrious; diligent,
青,5,qing1,nature's color; green or blue; greenish black; youth; young (of people); abbr. for Qinghai province 青海,
氢,6,qing1,hydrogen (chemistry),
轻,4,qing1,light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral,
清澈,6,qing1 che4,clear; limpid,
清晨,6,qing1 chen2,early morning,
清除,6,qing1 chu2,eliminate; get rid of,
清楚,3,qing1 chu5,clear; clearly understood; distinct,
青春,5,qing1 chun1,youth; youthfulness,
清淡,5,qing1 dan4,"light (of food, not greasy or strongly flavored); insipid; slack (sales)",
轻而易举,6,qing1 er2 yi4 ju3,easy; with no difficulty,
清洁,6,qing1 jie2,clean; purity,
清理,6,qing1 li3,clear; to put in order; to check up,
青少年,5,qing1 shao4 nian2,an adolescent; a youth; young person; teenage; teenager,
轻视,5,qing1 shi4,contempt; contemptuous; to despise; to scorn; scornful,
轻松,4,qing1 song1,gentle; relaxed,
倾听,6,qing1 ting1,to listen attentively,
清晰,6,qing1 xi1,clear; distinct,
倾向,6,qing1 xiang4,trend; tendency; orientation,
倾斜,6,qing1 xie2,to incline; to lean; to slant; to slope; to tilt,
清醒,6,qing1 xing3,clear-headed; sober; awake,
清真,6,qing1 zhen1,Islamic; Muslim; halal (of food); clean; pure,
晴,2,qing2,clear; fine (weather),
情报,6,qing2 bao4,(spy) intelligence; information-gathering,
情节,6,qing2 jie2,plot; circumstances,
情景,5,qing2 jing3,scene; sight; circumstances; CL:個|个[ge4],
情况,4,qing2 kuang4,"circumstances; state of affairs; situation; CL:個|个[ge4],種|种[zhong3]",
晴朗,6,qing2 lang3,sunny and cloudless,
情理,6,qing2 li3,reason; sense,
情形,6,qing2 xing2,circumstances; situation; CL:個|个[ge4],
情绪,5,qing2 xu4,feeling; sentiment; CL:種|种[zhong3],
请,1,qing3,to ask; to invite; please (do sth); to treat (to a meal etc); to request,
请假,4,qing3 jia4,ask for time off,
请柬,6,qing3 jian3,invitation card; written invitation,
请教,6,qing3 jiao4,consult,
请客,4,qing3 ke4,give a dinner party; entertain guests; invite to dinner,
请求,5,qing3 qiu2,request; CL:個|个[ge4],
请示,6,qing3 shi4,ask for instructions,
请帖,6,qing3 tie3,invitation card; written invitation,
庆祝,5,qing4 zhu4,celebrate,
穷,4,qiong2,exhausted; poor,
秋,3,qiu1,autumn; fall; harvest time; a swing; surname Qiu,
丘陵,6,qiu1 ling2,hills,
球迷,5,qiu2 mi2,soccer fan; crazy about ball sports; CL:個|个[ge4],
区别,4,qu1 bie2,difference; to distinguish; to discriminate; to make a distinction; CL:個|个[ge4],
区分,6,qu1 fen1,to differentiate; to find differing aspects,
屈服,6,qu1 fu2,to surrender; to yield,
趋势,5,qu1 shi4,trend; tendency,
区域,6,qu1 yu4,area; region; district,
曲折,6,qu1 zhe2,complicated; winding,
驱逐,6,qu1 zhu2,to expel; to deport; banishment,
渠道,6,qu2 dao4,irrigation ditch; medium or channel of communication,
取,4,qu3,to take; to get; to choose; to fetch,
娶,5,qu3,take a wife; to marry (a woman),
取缔,6,qu3 di4,"to ban; to prohibit (publications, customs etc); to outlaw; to suppress (violators)",
取消,5,qu3 xiao1,to cancel; cancellation,
曲子,6,qu3 zi5,poem for singing; tune; music; CL:支[zhi1],
去,1,qu4,to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed,
去年,2,qu4 nian2,last year,
去世,5,qu4 shi4,to pass away; to die,
趣味,6,qu4 wei4,fun; interest; delight; taste; liking; preference,
圈,5,quan1,"circle; ring; loop; classifier for loops, orbits, laps of race etc; CL:個|个[ge4]",
圈套,6,quan1 tao4,trap; snare; trick,
全部,4,quan2 bu4,whole; entire; complete,
权衡,6,quan2 heng2,to weigh; to consider; to assess; to balance; to trade-off,
全局,6,quan2 ju2,overall situation,
权利,5,quan2 li4,power; right; privilege,
权力,5,quan2 li4,(wield) power,
全力以赴,6,quan2 li4 yi3 fu4,do at all costs; make an all-out effort,
全面,5,quan2 mian4,all-around; comprehensive; total; overall,
拳头,6,quan2 tou5,fist; clenched fist; competitive (product); superior quality; CL: 個|个,
权威,6,quan2 wei1,authority; authoritative; power and prestige,
权益,6,quan2 yi4,rights and benefits,
犬,6,quan3,dog,
劝,5,quan4,to advise; to urge; to try to persuade; exhort,
缺点,4,que1 dian3,weak point; fault; shortcoming; CL:個|个[ge4],
缺乏,5,que1 fa2,shortage; be lacking; to be short of; to lack; scarcity,
缺口,6,que1 kou3,nick; jag; gap; shortfall,
缺少,4,que1 shao3,lack; shortage of; shortfall; to be short (of); to lack,
缺席,6,que1 xi2,absence; absent,
缺陷,6,que1 xian4,a defect; a flaw,
瘸,6,que2,lame,
却,4,que4,but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though,
确保,6,que4 bao3,to ensure; to guarantee,
确定,5,que4 ding4,definite; certain; fixed; to fix (on sth); to determine; to be sure; to ensure; to make certain; to ascertain; to clinch; to recognize; to confirm; OK (on computer dialog box),
确立,6,que4 li4,to establish; to institute,
确切,6,que4 qie4,definite; exact; precise,
确认,5,que4 ren4,to confirm; to verify; confirmation,
确实,4,que4 shi2,indeed; really; reliable; real; true,
确信,6,que4 xin4,to be convinced; to be sure; to firmly believe; to be positive that; definite news,
群,4,qun2,"group; crowd; flock, herd, pack etc",
群众,6,qun2 zhong4,mass; multitude; the masses,
裙子,3,qun2 zi5,skirt; CL:條|条[tiao2],
然而,4,ran2 er2,however; yet; but,
然后,3,ran2 hou4,after; then (afterwards); after that; afterwards,
燃烧,5,ran2 shao1,combustion; flaming; kindle,
染,6,ran3,to dye; to catch (a disease); to acquire (bad habits etc); to contaminate; to add colour washes to a painting,
嚷,5,rang3,blurt out; to shout,
让,2,rang4,to yield; to permit; to let sb do sth; to have sb do sth,
让步,6,rang4 bu4,to concede; to give in; to yield; a concession,
饶恕,6,rao2 shu4,forgiveness; spare,
扰乱,6,rao3 luan4,to disturb; to perturb; to harass,
绕,5,rao4,to wind; to coil (thread); to rotate around; to spiral; to move around; to go round (an obstacle); to by-pass; to make a detour; to confuse; to perplex,
惹祸,6,re3 huo4,stirring up trouble; to invite disaster,
热,1,re4,heat; to heat up; fervent; hot (of weather); warm up,
热爱,5,re4 ai4,to love ardently; to adore,
热泪盈眶,6,re4 lei4 ying2 kuang4,eyes brimming with tears of excitement (idiom); extremely moved,
热烈,5,re4 lie4,warm (welcome etc),
热门,6,re4 men2,popular; hot; in vogue,
热闹,4,re4 nao5,bustling with noise and excitement; lively,
"热情 ",3,re4 qing2,cordial; enthusiastic; passion; passionate; passionately,
热心,5,re4 xin1,enthusiasm; zeal; zealous; zest; enthusiastic; ardent; warmhearted,
人,1,ren2,"man; person; people; CL:個|个[ge4],位[wei4]",
人才,5,ren2 cai2,a person's talent; talented person; distinguished person; a talent (worth head-hunting); person's looks; an attractive woman; used interchangeably with 人材; CL:個|个[ge4],
仁慈,6,ren2 ci2,benevolent; charitable; kind; kindly; kindness; merciful,
人道,6,ren2 dao4,"human sympathy; humanitarianism; humane; the ""human way"", one of the stages in the cycle of reincarnation (Buddhism); sexual intercourse",
人格,6,ren2 ge2,personality; integrity; dignity,
人工,6,ren2 gong1,artificial; manpower; manual work,
人家,6,ren2 jia5,"other; other people; him(her, them); I",
人间,6,ren2 jian1,man's world; the world,
人口,5,ren2 kou3,population,
人类,5,ren2 lei4,humanity; human race; mankind,
人民币,4,ren2 min2 bi4,Renminbi (RMB); Chinese Yuan (CNY),
人生,5,ren2 sheng1,human life,
人事,5,ren2 shi4,human affairs; ways of the world; consciousness of the world; what is humanly possible; personnel matters; sexual awareness; sexual passion; facts of life,
人士,6,ren2 shi4,person; figure; public figure,
人为,6,ren2 wei2,artificial; man-made; having human cause or origin; human attempt or effort,
人物,5,ren2 wu4,"a person; a character (in a play, novel etc); a protagonist; CL:個|个[ge4]",
人性,6,ren2 xing4,human nature; humanity; human; the totality of human attributes,
人员,5,ren2 yuan2,staff; crew; personnel; CL:個|个[ge4],
人质,6,ren2 zhi4,hostage,
忍不住,5,ren3 bu5 zhu4,cannot help; unable to bear,
忍耐,6,ren3 nai4,to show restraint; to repress (anger etc); to exercise patience,
忍受,6,ren3 shou4,to bear; to endure,
认定,6,ren4 ding4,to maintain (that sth is true); to determine (a fact); determination (of an amount); of the firm opinion; to believe firmly; to set one's mind on; to identify with,
任何,4,ren4 he2,any; whatever; whichever; whatsoever,
认可,6,ren4 ke3,to approve; approval; acknowledgment; OK,
任命,6,ren4 ming4,to appoint and nominate,
认识,1,ren4 shi5,to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition,
认为,3,ren4 wei2,to believe; to think; to consider; to feel,
任务,4,ren4 wu5,"mission; assignment; task; duty; role; CL:項|项[xiang4],個|个[ge4]",
任性,6,ren4 xing4,willful; headstrong; uninhibited,
任意,6,ren4 yi4,arbitrary; at will; at random,
认真,3,ren4 zhen1,conscientious; earnest; serious; to take seriously; to take to heart,
任重道远,6,ren4 zhong4 dao4 yuan3,"a heavy load and a long road; fig. to bear heavy responsibilities through a long struggle (cf Confucian Analects, 8.7)",
扔,4,reng1,to throw; to throw away,
仍旧,6,reng2 jiu4,still (remaining); to remain (the same); yet,
仍然,4,reng2 ran2,still; yet,
日,1,ri4,"sun; day; date, day of the month; abbr. for 日本|日本 Japan",
日常,5,ri4 chang2,daily; everyday,
日程,5,ri4 cheng2,schedule; itinerary; CL:個|个[ge4],
日记,4,ri4 ji4,"diary; CL:則|则[ze2],本[ben3],篇[pian1]",
日历,5,ri4 li4,"calendar; CL:張|张[zhang1],本[ben3]",
日期,5,ri4 qi1,date; CL:個|个[ge4],
日新月异,6,ri4 xin1 yue4 yi4,"daily renewal, monthly change (idiom); every day sees new developments; rapid progress",
日益,6,ri4 yi4,day by day; more and more; increasingly; more and more with each passing day,
日用品,5,ri4 yong4 pin3,"articles for daily use; CL:件[jian4],個|个[ge4]",
融化,5,rong2 hua4,to melt; to thaw; to dissolve; to blend into; to combine; to fuse,
溶解,6,rong2 jie3,dissolve; solution,
容貌,6,rong2 mao4,one's appearance; one's aspect; looks; features,
容纳,6,rong2 na4,to hold; to contain; to accommodate; to tolerate (different opinions),
容器,6,rong2 qi4,receptacle; vessel,
融洽,6,rong2 qia4,harmonious; friendly relations; on good terms with one another,
容忍,6,rong2 ren3,to put up with; to tolerate,
荣幸,5,rong2 xing4,honored,
容易,3,rong2 yi4,easy; likely; liable (to),
荣誉,5,rong2 yu4,honor; credit; glory; (honorable) reputation,
揉,6,rou2,to knead; to massage; to rub,
柔和,6,rou2 he2,gentle; soft,
