hanzi,level,pinyin,definition
包括,4,bao1 kuo4,to comprise; to include; to involve; to incorporate; to consist of,
包围,6,bao1 wei2,to surround; to encircle; to hem in,
包装,6,bao1 zhuang1,pack; package,
包子,5,bao1 zi5,steamed stuffed bun; CL:個|个[ge4],
薄,5,bao2,thin; cold in manner; indifferent; weak; light; infertile,
饱,3,bao3,to eat till full; satisfied,
宝贝,5,bao3 bei4,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,
保持,5,bao3 chi2,to keep; to maintain; to hold; to preserve,
保存,5,bao3 cun2,to conserve; to preserve; to keep; to save (a file etc) (computing),
保管,6,bao3 guan3,to assure; to guarantee; to take care of; to safeguard; certainly; surely,
宝贵,5,bao3 gui4,valuable; precious; value; treasure; set store by,
饱和,6,bao3 he2,saturation,
保护,4,bao3 hu4,to protect; to defend; to safeguard; protection; CL:種|种[zhong3],
饱经沧桑,6,bao3 jing1 cang1 sang1,having lived through many changes,
保留,5,bao3 liu2,to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance),
保密,6,bao3 mi4,to keep sth confidential; to maintain secrecy,
保姆,6,bao3 mu3,nanny; housekeeper,
保守,6,bao3 shou3,(politically) conservative; to guard; to keep,
保卫,6,bao3 wei4,to defend; to safeguard,
保险,5,bao3 xian3,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4],
保养,6,bao3 yang3,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance,
保障,6,bao3 zhang4,to ensure; to guarantee; to safeguard,
保证,4,bao3 zheng4,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4],
保重,6,bao3 zhong4,take care of oneself,
抱,4,bao4,to hold; to carry (in one's arms); to hug or embrace; surround; cherish,
报仇,6,bao4 chou2,to revenge (oneself); to avenge,
报酬,6,bao4 chou5,reward; remuneration,
报答,6,bao4 da2,to repay; to requite,
报到,6,bao4 dao4,report for duty; check in; register,
报道,4,bao4 dao4,"report; CL:篇[pian1],份[fen4]",
爆发,6,bao4 fa1,to break out; to erupt; to explode; to burst out,
报复,6,bao4 fu4,to make reprisals; to retaliate; revenge; retaliation,
抱负,6,bao4 fu4,aspiration; ambition,
报告,5,bao4 gao4,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]",
曝光,6,bao4 guang1,exposure (e.g. of photosensitive material); to expose (a scandal to the public),
暴力,6,bao4 li4,violence; (use) force; violent,
暴露,6,bao4 lu4,to expose; to reveal; to lay bare,
报名,4,bao4 ming2,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,
抱歉,4,bao4 qian4,sorry; We apologize!; to feel apologetic; to regret,
报社,6,bao4 she4,general office of a newspaper; newspaper office; CL:家[jia1],
报销,6,bao4 xiao1,submit an expense account; apply for reimbursement; write-off; wipe out,
抱怨,6,bao4 yuan4,to complain; to grumble,
爆炸,6,bao4 zha4,explosion; to explode; to blow up; to detonate,
报纸,2,bao4 zhi3,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",
悲哀,6,bei1 ai1,grieved; sorrowful,
卑鄙,6,bei1 bi3,base; mean; contemptible; despicable,
悲惨,6,bei1 can3,miserable; tragic,
悲观,5,bei1 guan1,pessimistic,
杯子,1,bei1 zi5,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",
北方,3,bei3 fang1,north; the northern part a country; China north of the Yellow River,
北极,6,bei3 ji2,the North Pole; the Arctic Pole; the north magnetic pole,
北京,1,Bei3 jing1,"Beijing, capital of People's Republic of China; Peking; PRC government",
倍,5,bei4,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",
被,4,bei4,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),
背,3,bei4,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory,
被动,6,bei4 dong4,passive,
备份,6,bei4 fen4,backup,
被告,6,bei4 gao4,defendant,
背景,5,bei4 jing3,background; backdrop; context; CL:種|种[zhong3],
贝壳,6,bei4 ke2,"shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written",
背叛,6,bei4 pan4,to betray,
背诵,6,bei4 song4,recite; repeat from memory,
备忘录,6,bei4 wang4 lu4,memorandum; aide-memoire; memorandum book,
被子,5,bei4 zi5,quilt; CL:床[chuang2],
奔波,6,ben1 bo1,rush about; be busy running about,
奔驰,6,ben1 chi2,"to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make",
本,1,ben3,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",
本科,5,ben3 ke1,undergraduate course; undergraduate (adjective),
本来,4,ben3 lai2,original; originally; at first; it goes without saying; of course,
本领,5,ben3 ling3,"skill; ability; capability; CL:項|项[xiang4],個|个[ge4]",
本能,6,ben3 neng2,instinct,
本钱,6,ben3 qian2,capital,
本人,6,ben3 ren2,the person himself; I (humble form used in speeches); oneself; myself; in person; personal,
本身,6,ben3 shen1,itself; in itself; per se,
本事,6,ben3 shi5,ability; skill; source material; original story,
本着,6,ben3 zhe5,based on...; in conformance with..; taking as one's main principle,
